Prscrbr_NPI,Prscrbr_Type,Gnrc_Name,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,Drug_Category,Year
1003018748,Neurosurgery,Acetaminophen With Codeine,69,69.1,563,388.52,38.0,Opioid,2014
1003018748,Neurosurgery,Carisoprodol,62,62.0,450,488.78,,Muscle Relaxant,2014
1003018748,Neurosurgery,Cyclobenzaprine Hcl,14,14.0,126,68.05,,Muscle Relaxant,2014
1003018748,Neurosurgery,Gabapentin,60,60.0,1740,812.0,26.0,Gabapentinoid,2014
1003018748,Neurosurgery,Hydrocodone/Acetaminophen,654,654.5,6122,6129.4,183.0,Opioid,2014
1003018748,Neurosurgery,Meloxicam,59,61.1,1830,217.13,22.0,NSAID,2014
1003018748,Neurosurgery,Methocarbamol,36,36.0,318,201.57,24.0,Muscle Relaxant,2014
1003018748,Neurosurgery,Oxycodone Hcl/Acetaminophen,94,94.0,1135,3544.51,43.0,Opioid,2014
1003018748,Neurosurgery,Tizanidine Hcl,211,211.0,1507,1442.63,71.0,Muscle Relaxant,2014
1003018748,Neurosurgery,Tramadol Hcl,54,54.0,655,277.87,31.0,Opioid,2014
1003027392,Neurosurgery,Gabapentin,84,86.0,2550,882.87,42.0,Gabapentinoid,2014
1003027392,Neurosurgery,Hydrocodone/Acetaminophen,68,68.5,1270,1543.69,38.0,Opioid,2014
1003027392,Neurosurgery,Methocarbamol,42,42.0,852,617.03,30.0,Muscle Relaxant,2014
1003027392,Neurosurgery,Oxycodone Hcl,21,21.0,314,545.01,,Opioid,2014
1003027392,Neurosurgery,Oxycodone Hcl/Acetaminophen,86,86.0,1017,2047.39,54.0,Opioid,2014
1003027392,Neurosurgery,Tramadol Hcl,16,16.0,247,178.56,14.0,Opioid,2014
1003071010,Orthopedic Surgery,Cyclobenzaprine Hcl,52,54.0,1205,761.06,35.0,Muscle Relaxant,2014
1003071010,Orthopedic Surgery,Gabapentin,32,39.5,1165,433.86,18.0,Gabapentinoid,2014
1003071010,Orthopedic Surgery,Hydrocodone/Acetaminophen,141,143.0,1391,2457.59,59.0,Opioid,2014
1003071010,Orthopedic Surgery,Pregabalin,12,12.0,310,3594.11,,Gabapentinoid,2014
1003071010,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,30,30.0,308,2170.32,23.0,Opioid,2014
1003071010,Orthopedic Surgery,Tramadol Hcl,51,53.0,1423,453.88,35.0,Opioid,2014
1003096736,Neurosurgery,Oxycodone Hcl,20,20.0,291,961.21,,Opioid,2014
1003800699,Neurosurgery,Cyclobenzaprine Hcl,12,12.4,235,237.16,12.0,Muscle Relaxant,2014
1003800699,Neurosurgery,Hydrocodone/Acetaminophen,50,50.0,387,567.77,26.0,Opioid,2014
1003812264,Neurosurgery,Gabapentin,47,47.0,1365,498.48,27.0,Gabapentinoid,2014
1003812264,Neurosurgery,Hydrocodone/Acetaminophen,144,144.0,930,2015.22,51.0,Opioid,2014
1003812264,Neurosurgery,Methocarbamol,20,20.0,325,292.19,11.0,Muscle Relaxant,2014
1003812264,Neurosurgery,Tramadol Hcl,85,85.0,656,417.27,47.0,Opioid,2014
1003814716,Neurosurgery,Baclofen,30,32.1,932,407.98,17.0,Muscle Relaxant,2014
1003814716,Neurosurgery,Cyclobenzaprine Hcl,34,34.3,859,1061.84,13.0,Muscle Relaxant,2014
1003814716,Neurosurgery,Gabapentin,12,15.6,441,205.05,,Gabapentinoid,2014
1003814716,Neurosurgery,Hydrocodone/Acetaminophen,84,84.0,1742,2064.37,45.0,Opioid,2014
1003814716,Neurosurgery,Oxycodone Hcl/Acetaminophen,54,54.0,863,3460.72,43.0,Opioid,2014
1003814716,Neurosurgery,Tramadol Hcl,21,21.1,489,189.34,18.0,Opioid,2014
1003814914,Neurosurgery,Gabapentin,17,19.0,520,128.44,,Gabapentinoid,2014
1003814914,Neurosurgery,Hydrocodone/Acetaminophen,54,54.0,485,620.34,29.0,Opioid,2014
1003814914,Neurosurgery,Tramadol Hcl,37,37.0,615,185.06,13.0,Opioid,2014
1003817404,Neurosurgery,Carisoprodol,16,16.0,320,364.65,,Muscle Relaxant,2014
1003817404,Neurosurgery,Cyclobenzaprine Hcl,42,42.0,824,693.66,15.0,Muscle Relaxant,2014
1003817404,Neurosurgery,Hydrocodone/Acetaminophen,55,55.0,422,728.23,29.0,Opioid,2014
1003817404,Neurosurgery,Ibuprofen,62,62.0,1555,668.64,27.0,NSAID,2014
1003817404,Neurosurgery,Meloxicam,13,23.8,698,129.39,,NSAID,2014
1003817404,Neurosurgery,Naproxen,18,29.3,880,228.19,,NSAID,2014
1003817404,Neurosurgery,Oxycodone Hcl/Acetaminophen,47,47.0,340,2519.71,26.0,Opioid,2014
1003817404,Neurosurgery,Tramadol Hcl,11,11.0,134,115.13,,Opioid,2014
1003817602,Orthopedic Surgery,Celecoxib,12,12.0,360,2494.92,,NSAID,2014
1003817602,Orthopedic Surgery,Hydrocodone/Acetaminophen,69,69.0,596,1093.3,50.0,Opioid,2014
1003817602,Orthopedic Surgery,Oxycodone Hcl,14,14.0,114,424.61,,Opioid,2014
1003817602,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,65,65.0,457,1618.67,49.0,Opioid,2014
1003817602,Orthopedic Surgery,Tramadol Hcl,34,34.0,437,224.3,25.0,Opioid,2014
1003819913,Neurosurgery,Acetaminophen With Codeine,16,16.0,107,118.96,12.0,Opioid,2014
1003819913,Neurosurgery,Carisoprodol,86,86.0,914,1162.92,21.0,Muscle Relaxant,2014
1003819913,Neurosurgery,Gabapentin,12,12.0,360,127.6,,Gabapentinoid,2014
1003819913,Neurosurgery,Hydrocodone/Acetaminophen,194,194.3,1638,2565.79,48.0,Opioid,2014
1003819913,Neurosurgery,Tramadol Hcl,12,12.0,122,85.34,,Opioid,2014
1003823170,Orthopedic Surgery,Hydrocodone/Acetaminophen,134,134.2,983,1641.28,75.0,Opioid,2014
1003823170,Orthopedic Surgery,Naproxen,33,33.0,618,181.34,21.0,NSAID,2014
1003823170,Orthopedic Surgery,Tramadol Hcl,47,47.0,412,246.06,30.0,Opioid,2014
1003834490,Orthopedic Surgery,Baclofen,13,13.0,340,173.64,,Muscle Relaxant,2014
1003834490,Orthopedic Surgery,Cyclobenzaprine Hcl,16,16.0,460,353.37,,Muscle Relaxant,2014
1003834490,Orthopedic Surgery,Diclofenac Sodium,14,20.0,600,333.61,,NSAID,2014
1003834490,Orthopedic Surgery,Gabapentin,50,50.5,1471,1065.37,29.0,Gabapentinoid,2014
1003834490,Orthopedic Surgery,Hydrocodone/Acetaminophen,22,22.0,303,227.47,,Opioid,2014
1003834490,Orthopedic Surgery,Hydromorphone Hcl,13,13.0,108,113.27,,Opioid,2014
1003834490,Orthopedic Surgery,Pregabalin,12,12.0,360,3141.72,,Gabapentinoid,2014
1003834490,Orthopedic Surgery,Meloxicam,139,145.0,4139,845.69,86.0,NSAID,2014
1003834490,Orthopedic Surgery,Oxycodone Hcl,62,62.0,812,973.56,20.0,Opioid,2014
1003834490,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,87,87.0,1194,1183.66,41.0,Opioid,2014
1003834490,Orthopedic Surgery,Tramadol Hcl,135,142.1,2070,854.89,42.0,Opioid,2014
1003834680,Neurosurgery,Hydrocodone/Acetaminophen,63,63.0,707,893.34,29.0,Opioid,2014
1003834680,Neurosurgery,Methocarbamol,29,29.0,465,297.74,20.0,Muscle Relaxant,2014
1003834680,Neurosurgery,Tramadol Hcl,12,12.0,123,52.28,,Opioid,2014
1003843681,Orthopedic Surgery,Acetaminophen With Codeine,44,44.0,691,683.62,14.0,Opioid,2014
1003843681,Orthopedic Surgery,Carisoprodol,19,21.0,630,347.59,,Muscle Relaxant,2014
1003843681,Orthopedic Surgery,Celecoxib,94,118.0,3463,42213.65,31.0,NSAID,2014
1003843681,Orthopedic Surgery,Cyclobenzaprine Hcl,67,75.0,1729,1278.59,27.0,Muscle Relaxant,2014
1003843681,Orthopedic Surgery,Diclofenac Sodium,312,338.5,10125,6343.0,103.0,NSAID,2014
1003843681,Orthopedic Surgery,Gabapentin,265,334.0,9698,3421.16,69.0,Gabapentinoid,2014
1003843681,Orthopedic Surgery,Hydrocodone/Acetaminophen,637,657.0,15762,19092.85,138.0,Opioid,2014
1003843681,Orthopedic Surgery,Ibuprofen,39,39.0,1080,327.57,13.0,NSAID,2014
1003843681,Orthopedic Surgery,Pregabalin,21,31.0,930,9957.2,,Gabapentinoid,2014
1003843681,Orthopedic Surgery,Meloxicam,62,117.5,3525,347.37,19.0,NSAID,2014
1003843681,Orthopedic Surgery,Metaxalone,17,19.0,543,5485.9,,Muscle Relaxant,2014
1003843681,Orthopedic Surgery,Naproxen,19,19.0,570,153.28,,NSAID,2014
1003843681,Orthopedic Surgery,Oxycodone Hcl,21,21.0,426,701.74,14.0,Opioid,2014
1003843681,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,177,177.0,4042,11514.33,57.0,Opioid,2014
1003843681,Orthopedic Surgery,Tramadol Hcl,452,473.3,9352,3625.2,154.0,Opioid,2014
1003844523,Orthopedic Surgery,Cyclobenzaprine Hcl,33,33.0,930,484.78,18.0,Muscle Relaxant,2014
1003844523,Orthopedic Surgery,Hydrocodone/Acetaminophen,159,160.0,4179,3145.03,68.0,Opioid,2014
1003844523,Orthopedic Surgery,Ibuprofen,11,11.0,330,93.29,,NSAID,2014
1003844523,Orthopedic Surgery,Meloxicam,38,40.0,1200,293.8,14.0,NSAID,2014
1003844523,Orthopedic Surgery,Morphine Sulfate,18,18.0,540,1621.59,,Opioid,2014
1003844523,Orthopedic Surgery,Oxycodone Hcl,15,15.0,338,524.33,,Opioid,2014
1003844523,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,117,117.0,2718,3744.08,48.0,Opioid,2014
1003844523,Orthopedic Surgery,Oxycodone Hcl,11,11.0,330,1528.68,,Opioid,2014
1003844523,Orthopedic Surgery,Tramadol Hcl,14,14.0,309,86.18,,Opioid,2014
1003847484,Neurosurgery,Gabapentin,25,26.2,786,275.49,19.0,Gabapentinoid,2014
