Prscrbr_NPI,Prscrbr_Type,Gnrc_Name,Brnd_Name,Drug_Category,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,Year
1982680419,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,26,36.0,1080,231.03,11.0,2019
1982680419,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,74,74.0,640,577.97,52.0,2019
1982680419,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,15,15.0,146,288.0,,2019
1982680419,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,14,14.0,160,29.65,,2019
1982694642,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,15,15.0,106,118.13,12.0,2019
1982694642,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,12,12.0,83,81.15,11.0,2019
1982704128,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,13,13.0,90,100.66,,2019
1982704128,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,35,35.0,234,347.86,29.0,2019
1982750576,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,22,22.0,524,159.39,12.0,2019
1982750576,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,48,58.0,1737,895.58,,2019
1982750576,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,40,40.0,353,513.17,21.0,2019
1982750576,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,21,21.0,210,146.91,,2019
1982750576,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,75,75.0,685,1269.7,47.0,2019
1982750576,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,25,29.0,616,385.9,12.0,2019
1982750576,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,11,11.0,122,56.82,,2019
1982751772,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,11,11.0,280,287.64,,2019
1982751772,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,13,13.0,313,104.71,,2019
1982751772,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,21,23.3,670,338.52,13.0,2019
1982751772,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,56,56.0,237,241.23,27.0,2019
1982751772,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,65,65.0,217,464.38,17.0,2019
1982751772,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,19,19.0,57,49.46,12.0,2019
1982761151,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,51,69.2,2011,919.58,27.0,2019
1982761151,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,16,16.0,148,128.52,13.0,2019
