Year,Drug_Category,Total_Claims,N_Prescribers,Claims_Per_Provider,Total_Day_Supply,Avg_Days_Per_Claim,Total_Drug_Cost,Total_Beneficiaries,Total_30Day_Fills
2014,Opioid,707906,3720,190.297311827957,10935242,15.447307975917706,18772759.32,304005.0,714380.8
2014,Gabapentinoid,151485,2537,59.71028774142688,5108678,33.72398587318877,6147020.99,49909.0,175720.8
2014,Muscle Relaxant,113116,1944,58.18724279835391,2646196,23.393648997489304,2337953.21,47318.0,116797.6
2014,NSAID,135554,1662,81.56077015643802,4464637,32.93622467798811,5931129.67,56606.0,153974.2
2015,Opioid,632887,3635,174.1092159559835,10473708,16.549096442176882,18194268.630000003,307800.0,638479.8
2015,Gabapentinoid,162994,2569,63.44647722849358,5539730,33.98732468679829,6453124.75,54775.0,190517.0
2015,Muscle Relaxant,106785,1926,55.44392523364486,2572146,24.087147071217867,2063387.87,45625.0,110790.5
2015,NSAID,140799,1711,82.29047340736412,4723561,33.548256734777944,4302258.03,58060.0,162156.4
2016,Opioid,620368,3641,170.38396045042572,10290122,16.58712570603255,17131416.6,306347.0,625498.1000000001
2016,Gabapentinoid,179237,2649,67.66213665534164,6148715,34.30494261787466,6701651.470000001,61307.0,211319.6
2016,Muscle Relaxant,104936,1835,57.1858310626703,2576193,24.550135320576352,1483852.03,47343.0,109559.4
2016,NSAID,145562,1767,82.37804187889077,4937276,33.91871504925736,4219340.93,61236.0,169528.7
2017,Opioid,0,0,0.0,0,0.0,0.0,0.0,0.0
2017,Gabapentinoid,0,0,0.0,0,0.0,0.0,0.0,0.0
2017,Muscle Relaxant,0,0,0.0,0,0.0,0.0,0.0,0.0
2017,NSAID,0,0,0.0,0,0.0,0.0,0.0,0.0
2018,Opioid,511154,3387,150.91644523176853,7657889,14.981569155283927,10971682.649999999,261765.0,513540.10000000003
2018,Gabapentinoid,192547,2681,71.81909735173443,6736988,34.9887975403408,8320113.58,69362.0,231397.59999999998
2018,Muscle Relaxant,127850,2103,60.79410366143605,3111437,24.33662104028158,1734356.07,61800.0,135234.7
2018,NSAID,145705,1693,86.06320141760189,5238861,35.95525891355822,3191065.8,63742.0,180241.2
2019,Opioid,449991,3227,139.44561512240472,5743010,12.762499694438333,7588508.71,231356.0,450846.3
2019,Gabapentinoid,187295,2638,70.99886277482942,6667293,35.59781627913185,5613777.17,70295.0,229080.59999999998
2019,Muscle Relaxant,137559,2117,64.9782711384034,3252393,23.64362200946503,1772718.42,67947.0,146155.90000000002
2019,NSAID,150059,1703,88.1145038167939,5448278,36.30757235487375,2685669.5200000005,67818.0,188360.0
2020,Opioid,0,0,0.0,0,0.0,0.0,0.0,0.0
2020,Gabapentinoid,0,0,0.0,0,0.0,0.0,0.0,0.0
2020,Muscle Relaxant,0,0,0.0,0,0.0,0.0,0.0,0.0
2020,NSAID,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,Opioid,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,Gabapentinoid,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,Muscle Relaxant,0,0,0.0,0,0.0,0.0,0.0,0.0
2021,NSAID,0,0,0.0,0,0.0,0.0,0.0,0.0
2022,Opioid,360937,2667,135.33445819272592,4103042,11.367751158789485,4871938.17,184734.0,361361.1
2022,Gabapentinoid,213107,2495,85.41362725450902,7276428,34.144481410746714,3341794.23,80317.0,249629.69999999998
2022,Muscle Relaxant,165541,2166,76.42705447830102,3707476,22.396119390362507,2006003.4,86549.0,174946.59999999998
2022,NSAID,157433,1593,98.82799748901444,5540322,35.1916180216346,2473932.7699999996,70207.0,190067.9
2023,Opioid,341801,2520,135.63531746031745,3788079,11.082703093320383,4352478.37,179451.0,342204.3
2023,Gabapentinoid,211067,2443,86.39664347114204,7221611,34.21478014090312,3187820.8200000003,81408.0,247982.40000000002
2023,Muscle Relaxant,180212,2208,81.6177536231884,4026462,22.342918340621047,1886856.21,95948.0,190745.2
2023,NSAID,166415,1610,103.36335403726709,5864729,35.24158879908662,2523446.75,73936.0,200865.2
